type,date,amount,id,name,memo,source,category,spend_type,vendor,month,year,amount_inv
DEBIT,2025-07-01,-13.45,1000030272813240D,Point Of Sale Withdrawal,SHOPPERS DRUG MART #22 VANCOUVERBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$13.45 
DEBIT,2025-07-01,-14.01,,GitHub,Internet,cap_one_visa,business,bus - fixed,,07-2025,2025,$14.01 
DEBIT,2025-07-02,-845.38,1000030272813243D,External Withdrawal,Mortgage Home Trust Company 0002983823,beem_ch,rental inc,condo - fixed,,07-2025,2025,$845.38 
DEBIT,2025-07-02,-41.52,,Amazon Canada,Other Services,cap_one_visa,supplies/services,nec - discretionary,,07-2025,2025,$41.52 
DEBIT,2025-07-02,-37.76,,DoorDash,Dining,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$37.76 
DEBIT,2025-07-02,-14.69,,TESLA,Internet,cap_one_visa,entertainment,discretionary,,07-2025,2025,$14.69 
DEBIT,2025-07-02,-360.02,2.51832E+16,KAS 3604 Radius FEE,,td_ch,rental inc,condo - fixed,,07-2025,2025,$360.02 
CHECK,2025-07-02,-2125,2.51841E+16,CHQ#00045-3143144732,,td_ch,rent,nec - fixed,,07-2025,2025,"$2,125.00 "
DEBIT,2025-07-03,-3,1000030272813247D,Point Of Sale Withdrawal,SHINE AUTO WASH TERMIN VANCOUVERBCCA,beem_ch,auto/local trans,discretionary,Shine carwash,07-2025,2025,$3.00 
DEBIT,2025-07-03,-4.2,1000030272813246D,Point Of Sale Withdrawal,SHINE AUTO WASH TERMIN VANCOUVERBCCA,beem_ch,auto/local trans,discretionary,Shine carwash,07-2025,2025,$4.20 
DEBIT,2025-07-03,-26.25,1000030272813245D,Point Of Sale Withdrawal,SHINE AUTO WASH VANCOUVERBCCA,beem_ch,auto/local trans,discretionary,Shine carwash,07-2025,2025,$26.25 
DEBIT,2025-07-03,-185.06,1000030272813244D,Point Of Sale Withdrawal,GRANVILLE ISLAND KEG # VANCOUVERBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$185.06 
DEBIT,2025-07-03,-2.35,,Impark,Gas/Automotive,cap_one_visa,auto/local trans,discretionary,,07-2025,2025,$2.35 
DEBIT,2025-07-03,-27.43,2.40212E+22,PaddleLondon,,scotia_visa,business,discretionary,,07-2025,2025,$27.43 
DEBIT,2025-07-03,-7.82,2.40113E+22,ANTHROPIC.COMCA,,scotia_visa,business,bus - fixed,,07-2025,2025,$7.82 
CREDIT,2025-07-03,5.9,2.51842E+16,MOBILE DEPOSIT,balance from National Bank acct close,td_ch,transfer/pmt,,,07-2025,2025,($5.90)
CREDIT,2025-07-03,1451,2025-06-20~2025-07-04~1812296,PAYMENT - THANK YOU,,td_visa,transfer/pmt,,,07-2025,2025,"($1,451.00)"
DEBIT,2025-07-04,-52.89,1000030272813251D,Point Of Sale Withdrawal,BC LIQUOR #177 VANCOUVERBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$52.89 
DEBIT,2025-07-04,-85.77,1000030272813250D,Point Of Sale Withdrawal,WHOLE FOODS MARKET VANCOUVERBCCA,beem_ch,food & bev,nec - fixed,Whole Foods,07-2025,2025,$85.77 
DEBIT,2025-07-04,-11.49,1000030272813249D,Point Of Sale Withdrawal,TST-The Juice Truck- W VancouverBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$11.49 
DEBIT,2025-07-04,-16.76,1000030272813248D,Point Of Sale Withdrawal,SHOPPERS DRUG MART #22 VANCOUVERBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$16.76 
DEBIT,2025-07-04,-5.5,2025-06-20~2025-07-07~1249614,IMPARK00011928U,,td_visa,auto/local trans,discretionary,,07-2025,2025,$5.50 
DEBIT,2025-07-04,-45.07,2025-06-20~2025-07-07~1249604,AMZN Mktp CA*N34Z53HU1,,td_visa,supplies/services,discretionary,,07-2025,2025,$45.07 
DEBIT,2025-07-04,-34.2,2025-06-20~2025-07-07~1249594,AMZN Mktp CA*N350M65C1,,td_visa,supplies/services,discretionary,,07-2025,2025,$34.20 
DEBIT,2025-07-05,-2.5,1000030272813255D,Point Of Sale Withdrawal,AIR-SERV A PS710709 MERRITTBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$2.50 
DEBIT,2025-07-05,-24.42,1000030272813254D,Point Of Sale Withdrawal,SQ *THE PALM AbbotsfordBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$24.42 
DEBIT,2025-07-05,-21.48,1000030272813253D,Point Of Sale Withdrawal,STARBUCKS COFFEE #0481 VANCOUVERBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$21.48 
DEBIT,2025-07-05,-123.2,1000030272813252D,Point Of Sale Withdrawal,BREWERY CREEK COLD BEE VANCOUVERBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$123.20 
DEBIT,2025-07-05,-3.13,,GOOGLE *Google One,Internet,cap_one_visa,utilities,nec - fixed,,07-2025,2025,$3.13 
DEBIT,2025-07-05,-112.54,2025-06-20~2025-07-07~1249644,NINETEEN05,,td_visa,food & bev,nec - discretionary,,07-2025,2025,$112.54 
DEBIT,2025-07-05,-7.96,2025-06-20~2025-07-07~1249624,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$7.96 
DEBIT,2025-07-05,-551.95,2025-06-20~2025-07-08~1815253,PRESTIGE HARBOURFRONT RES,,td_visa,travel/transport,nec - discretionary,,07-2025,2025,$551.95 
DEBIT,2025-07-06,-20.12,1000030272813258D,Point Of Sale Withdrawal,SUBWAY 13773 GOLDENBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$20.12 
DEBIT,2025-07-06,-4.42,1000030272813257D,Point Of Sale Withdrawal,NINETEEN05 SALMON ARMBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$4.42 
DEBIT,2025-07-06,-48.83,1000030272813256D,Point Of Sale Withdrawal,NINETEEN05 SALMON ARMBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$48.83 
DEBIT,2025-07-06,-192.53,2025-06-20~2025-07-07~1249684,UNIVERSAL FOOTWEAR,,td_visa,supplies/services,discretionary,,07-2025,2025,$192.53 
DEBIT,2025-07-06,-16.52,2025-06-20~2025-07-07~1249634,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$16.52 
DEBIT,2025-07-06,-92.94,2025-06-20~2025-07-08~1815273,FHSR - ANTLERS/BEARS PAW,,td_visa,food & bev,nec - discretionary,,07-2025,2025,$92.94 
DEBIT,2025-07-06,-716.54,2025-06-20~2025-07-08~1815263,FAIRMONT HOT SPRINGS RESO,,td_visa,travel/transport,discretionary,,07-2025,2025,$716.54 
DEBIT,2025-07-07,-44.38,1000030272813259D,Point Of Sale Withdrawal,FAIRMONT MOUNTAINSIDE FAIRMONT HBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$44.38 
DEBIT,2025-07-07,-55.85,,DoorDash,Dining,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$55.85 
CREDIT,2025-07-07,823.25,2.51882E+16,WPS-0707S49275,,td_ch,transfer/pmt,,,07-2025,2025,($823.25)
DEBIT,2025-07-07,-8.46,2025-06-20~2025-07-07~1249674,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$8.46 
DEBIT,2025-07-07,-0.64,2025-06-20~2025-07-07~1249664,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$0.64 
DEBIT,2025-07-07,-8.1,2025-06-20~2025-07-07~1249654,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$8.10 
DEBIT,2025-07-07,-90.12,2025-06-20~2025-07-09~1806606,FHS GOLF - DAPPERS,,td_visa,food & bev,nec - discretionary,,07-2025,2025,$90.12 
DEBIT,2025-07-07,-109.98,2025-06-20~2025-07-09~1806596,FHSR - ANTLERS/BEARS PAW,,td_visa,food & bev,nec - discretionary,,07-2025,2025,$109.98 
DEBIT,2025-07-08,-13.63,1000030272813261D,Point Of Sale Withdrawal,DAIRY QUEEN #27221 CANMOREABCA,beem_ch,food & bev,discretionary,,07-2025,2025,$13.63 
DEBIT,2025-07-08,-15.02,1000030272813260D,Point Of Sale Withdrawal,FHSR - STEAMERS CAFE FAIRMONT-HBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$15.02 
DEBIT,2025-07-08,-14.21,,Spotify P38628E80A,Internet,cap_one_visa,entertainment,discretionary,,07-2025,2025,$14.21 
DEBIT,2025-07-08,-4.47,,Apple iTunes,Internet,cap_one_visa,supplies/services,disc - fixed,iCloud storage,07-2025,2025,$4.47 
DEBIT,2025-07-08,-9.35,2025-06-20~2025-07-09~1806586,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$9.35 
DEBIT,2025-07-09,-17.01,1000030272813262D,Point Of Sale Withdrawal,SQ *COASTAL CONCESSION LANGLEYBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$17.01 
DEBIT,2025-07-09,-20.53,2025-06-20~2025-07-09~1806616,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$20.53 
DEBIT,2025-07-09,-26.8,2025-06-20~2025-07-10~1808104,UBER CANADA/UBERTRIP,Calgary,td_visa,travel/transport,discretionary,,07-2025,2025,$26.80 
DEBIT,2025-07-10,-28.8,1000030272813264D,Point Of Sale Withdrawal,STAMPEDE CELLAR UNCORK CALGARYABCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$28.80 
DEBIT,2025-07-10,-47.78,1000030272813263D,Point Of Sale Withdrawal,STAMPEDE CELLAR UNCORK CALGARYABCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$47.78 
DEBIT,2025-07-10,-316.22,2.51912E+16,TD VISA J4U2A8,,td_ch,transfer/pmt,,,07-2025,2025,$316.22 
CREDIT,2025-07-10,316.22,2025-06-20~2025-07-11~1825314,PAYMENT - THANK YOU,,td_visa,transfer/pmt,,,07-2025,2025,($316.22)
DEBIT,2025-07-10,-5.36,2025-06-20~2025-07-11~1825304,UBER CANADA/UBERTRIP,Calgary,td_visa,travel/transport,discretionary,,07-2025,2025,$5.36 
DEBIT,2025-07-11,-45,1000030272813269D,Point Of Sale Withdrawal,SQ *WILDHORSE SALOON CalgaryABCA,beem_ch,food & bev,discretionary,,07-2025,2025,$45.00 
DEBIT,2025-07-11,-42.5,1000030272813268D,Point Of Sale Withdrawal,SQ *WILDHORSE SALOON CalgaryABCA,beem_ch,food & bev,discretionary,,07-2025,2025,$42.50 
DEBIT,2025-07-11,-124.09,1000030272813267D,External Withdrawal,Auto Insurance Insurance Corporation of BC 035283673994,beem_ch,auto/local trans,nec - fixed,ICBC,07-2025,2025,$124.09 
DEBIT,2025-07-11,-27.24,1000030272813266D,Point Of Sale Withdrawal,CALGARY STAMPEDE - PIZ CALGARYABCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$27.24 
DEBIT,2025-07-11,-24.61,1000030272813265D,Point Of Sale Withdrawal,STAMPEDE CELLAR UNCORK CALGARYABCA,beem_ch,food & bev,discretionary,,07-2025,2025,$24.61 
DEBIT,2025-07-12,-211.65,2025-06-20~2025-07-15~1803500,WAL-MART SUPERCENTER#3650,,td_visa,supplies/services,nec - discretionary,,07-2025,2025,$211.65 
DEBIT,2025-07-13,-17.4,2025-06-20~2025-07-14~1212311,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$17.40 
DEBIT,2025-07-13,-29.48,2025-06-20~2025-07-14~1212301,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$29.48 
DEBIT,2025-07-13,-208.8,2025-06-20~2025-07-16~1817413,FERNIE FOX HOTEL,,td_visa,travel/transport,discretionary,,07-2025,2025,$208.80 
DEBIT,2025-07-14,-146.14,1000030272813270D,External Withdrawal,Auto Insurance Insurance Corporation of BC 039727694129,beem_ch,auto/local trans,nec - fixed,ICBC,07-2025,2025,$146.14 
DEBIT,2025-07-14,-27.99,,Apple iTunes,Internet,cap_one_visa,business,bus - fixed,ChatGPT,07-2025,2025,$27.99 
DEBIT,2025-07-14,-10.75,2025-06-20~2025-07-15~1803510,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$10.75 
DEBIT,2025-07-14,-327.85,2025-06-20~2025-07-16~1817423,FS *ISLAND LAKE RESORT GR,,td_visa,travel/transport,discretionary,,07-2025,2025,$327.85 
CREDIT,2025-07-15,1503.3,1000030272813272C,External Deposit,Rent/Leases VANTAGE WEST-NEW TRUST AR4070,beem_ch,rental inc,condo - fixed,,07-2025,2025,"($1,503.30)"
DEBIT,2025-07-15,-26.19,1000030272813271D,Point Of Sale Withdrawal,Subway OSOYOOSONCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$26.19 
DEBIT,2025-07-15,-12.31,2025-06-20~2025-07-15~1803530,Amazon Channels,,td_visa,entertainment,discretionary,,07-2025,2025,$12.31 
DEBIT,2025-07-15,-16.25,2025-06-20~2025-07-15~1803520,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$16.25 
DEBIT,2025-07-15,-14.06,2025-06-20~2025-07-16~1817403,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$14.06 
DEBIT,2025-07-15,-15.3,2025-06-20~2025-07-16~1817393,TESLA,,td_visa,travel/transport,nec - discretionary,Tesla - chg,07-2025,2025,$15.30 
DEBIT,2025-07-16,-2.18,undefined,INTEREST CHARGES,,scotia_visa,int/bank chg/tax,discretionary,,07-2025,2025,$2.18 
DEBIT,2025-07-16,-117.6,2.51972E+16,Koodo Mobile BPY,,td_ch,utilities,nec - fixed,,07-2025,2025,$117.60 
DEBIT,2025-07-16,-16.79,2025-06-20~2025-07-17~1756627,Kindle Svcs,,td_visa,entertainment,discretionary,,07-2025,2025,$16.79 
DEBIT,2025-07-16,-8.62,2025-06-20~2025-07-17~1756617,Kindle Svcs,,td_visa,entertainment,discretionary,,07-2025,2025,$8.62 
DEBIT,2025-07-16,-1.04,2025-06-20~2025-07-17~1756607,Kindle Svcs,,td_visa,entertainment,discretionary,,07-2025,2025,$1.04 
DEBIT,2025-07-17,-42,1000030272813277D,Point Of Sale Withdrawal,M & J TINHLA CARWASH L VANCOUVERBCCA,beem_ch,auto/local trans,discretionary,,07-2025,2025,$42.00 
DEBIT,2025-07-17,-24.39,1000030272813276D,Point Of Sale Withdrawal,WHOLE FOODS MARKET VANCOUVERBCCA,beem_ch,food & bev,nec - fixed,Whole Foods,07-2025,2025,$24.39 
DEBIT,2025-07-17,-11.53,1000030272813275D,Point Of Sale Withdrawal,TST-The Juice Truck- W VancouverBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$11.53 
DEBIT,2025-07-17,-333,1000030272813274D,eTransfer - Debit,Payee: Guy Wylie,beem_ch,entertainment,discretionary,,07-2025,2025,$333.00 
DEBIT,2025-07-17,-100,1000030272813273D,eTransfer - Debit,Payee: CHELSEA ADRIA YUILL,beem_ch,supplies/services,nec - discretionary,,07-2025,2025,$100.00 
DEBIT,2025-07-17,-9.4,2.02507E+14,INTEREST CHARGES,INTEREST CHARGES,cap_one_visa,int/bank chg/tax,discretionary,,07-2025,2025,$9.40 
DEBIT,2025-07-17,-9.45,2025-06-20~2025-07-17~1756637,ZIPBY,,td_visa,auto/local trans,discretionary,,07-2025,2025,$9.45 
DEBIT,2025-07-17,-20.45,2025-06-20~2025-07-18~1801368,ZIPBY,,td_visa,auto/local trans,discretionary,,07-2025,2025,$20.45 
DEBIT,2025-07-17,-5.5,2025-06-20~2025-07-21~1212287,IMPARK00011928U,,td_visa,auto/local trans,discretionary,,07-2025,2025,$5.50 
DEBIT,2025-07-18,-17.64,1000030272813279D,Point Of Sale Withdrawal,BOAT HOUSE - KITSILANO VANCOUVERBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$17.64 
DEBIT,2025-07-18,-124.83,1000030272813278D,Point Of Sale Withdrawal,KITSILANO NATURAL FOOD VANCOUVERBCCA,beem_ch,food & bev,nec - fixed,,07-2025,2025,$124.83 
DEBIT,2025-07-18,-4.65,2025-06-20~2025-07-21~1212307,CITY OF VAN PAYBYPHONE,,td_visa,auto/local trans,discretionary,,07-2025,2025,$4.65 
DEBIT,2025-07-18,-223.99,2025-06-20~2025-07-21~1212297,SP FORERUNNERS,,td_visa,supplies/services,discretionary,,07-2025,2025,$223.99 
DEBIT,2025-07-19,-5.5,1000030272813280D,Point Of Sale Withdrawal,SQ *KIYA SHOP VANCOUVE RICHMONDBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$5.50 
DEBIT,2025-07-19,-810.16,1000030272813281D,Bill Payment,"Capital One Mastercard, Confirmation 59406182",beem_ch,transfer/pmt,,,07-2025,2025,$810.16 
DEBIT,2025-07-19,-31.48,2.02507E+14,DD/DOORDASHCACTUSCLUBC,DD/DOORDASHCACTUSCLUBC,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$31.48 
DEBIT,2025-07-20,-12.65,1000030272813283D,Point Of Sale Withdrawal,Store VancouverBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$12.65 
DEBIT,2025-07-20,-25.84,1000030272813282D,Point Of Sale Withdrawal,CHOICES CAMBIE # 906 VANCOUVERBCCA,beem_ch,food & bev,nec - fixed,,07-2025,2025,$25.84 
DEBIT,2025-07-21,-19.52,1000030272813286D,Point Of Sale Withdrawal,CAMBIE GASTOWN VANCOUVERBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$19.52 
DEBIT,2025-07-21,-48.35,1000030272813285D,Point Of Sale Withdrawal,WHOLE FOODS MARKET VANCOUVERBCCA,beem_ch,food & bev,nec - fixed,Whole Foods,07-2025,2025,$48.35 
DEBIT,2025-07-21,-38.75,1000030272813284D,Point Of Sale Withdrawal,FRESH CUTS BARBER SHOP VANCOUVERBCCA,beem_ch,supplies/services,nec - discretionary,,07-2025,2025,$38.75 
CREDIT,2025-07-21,810.16,2.02507E+14,PAYMENT,PAYMENT,cap_one_visa,transfer/pmt,,,07-2025,2025,($810.16)
DEBIT,2025-07-21,-5.5,2025-07-22~2025-07-23~1757531,IMPARK00011928U,,td_visa,auto/local trans,,,07-2025,2025,$5.50 
DEBIT,2025-07-22,-89.55,1000030272813291D,Point Of Sale Withdrawal,MEC MOUNTAIN EQUIPMENT VANCOUVERBCCA,beem_ch,supplies/services,discretionary,,07-2025,2025,$89.55 
DEBIT,2025-07-22,-3.35,1000030272813290D,Point Of Sale Withdrawal,TLNK/0486500735 BURNABYBCCA,beem_ch,auto/local trans,discretionary,,07-2025,2025,$3.35 
DEBIT,2025-07-22,-121.18,1000030272813289D,Point Of Sale Withdrawal,MARCELLO RISTORANTE & VANCOUVERBCCA,beem_ch,food & bev,nec - discretionary,,07-2025,2025,$121.18 
DEBIT,2025-07-22,-20.15,1000030272813288D,Point Of Sale Withdrawal,SQ *BOMBER BREWING VancouverBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$20.15 
DEBIT,2025-07-22,-18.87,1000030272813287D,Point Of Sale Withdrawal,OFF THE RAIL BREWING C VANCOUVERBCCA,beem_ch,food & bev,discretionary,,07-2025,2025,$18.87 
DEBIT,2025-07-22,-3.35,2025-07-22~2025-07-22~1808595,Ad free for PrimeVideo,,td_visa,entertainment,disc - fixed,,07-2025,2025,$3.35 
DEBIT,2025-07-22,-10.46,2025-07-22~2025-07-23~1757551,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$10.46 
DEBIT,2025-07-22,-3,2025-07-22~2025-07-23~1757541,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$3.00 
DEBIT,2025-07-23,-31.5,1000030272813292D,Point Of Sale Withdrawal,SHINE AUTO WASH VANCOUVERBCCA,beem_ch,auto/local trans,discretionary,Shine carwash,07-2025,2025,$31.50 
DEBIT,2025-07-23,-106.35,2025-07-22~2025-07-24~1825583,MEC MOUNTAIN EQUIPMENT,,td_visa,supplies/services,,,07-2025,2025,$106.35 
DEBIT,2025-07-23,-36.53,2025-07-22~2025-07-24~1825573,AMZN Mktp CA*ZK2CU2GD3,,td_visa,supplies/services,,,07-2025,2025,$36.53 
DEBIT,2025-07-24,-3,2025-07-22~2025-07-25~1841472,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$3.00 
DEBIT,2025-07-24,-8.28,2025-07-22~2025-07-25~1841462,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$8.28 
DEBIT,2025-07-24,-33.54,2025-07-22~2025-07-25~1841452,MEC MOUNTAIN EQUIPMENT,,td_visa,supplies/services,,,07-2025,2025,$33.54 
DEBIT,2025-07-24,-15.6,2025-07-22~2025-07-25~1841432,Wikimedia,,td_visa,misc,,,07-2025,2025,$15.60 
DEBIT,2025-07-24,-52.6,2025-07-22~2025-07-28~1254305,BCAA-INSURANCE,,td_visa,rental inc,,,07-2025,2025,$52.60 
DEBIT,2025-07-25,-37.76,2.02507E+14,DD/DOORDASHTHEPERIPERI,DD/DOORDASHTHEPERIPERI,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$37.76 
DEBIT,2025-07-25,-25.31,2025-07-22~2025-07-25~1841442,UBER* TRIP,,td_visa,auto/local trans,,,07-2025,2025,$25.31 
DEBIT,2025-07-25,-59.77,2025-07-22~2025-07-28~1254375,LARRYS COOKIES AND ICE C,,td_visa,food & bev,,,07-2025,2025,$59.77 
DEBIT,2025-07-25,-6.32,2025-07-22~2025-07-28~1254315,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$6.32 
DEBIT,2025-07-25,-11.19,2025-07-22~2025-07-28~1254295,Amazon.ca Prime Member,,td_visa,entertainment,disc - fixed,,07-2025,2025,$11.19 
DEBIT,2025-07-25,-91.86,2025-07-22~2025-07-28~1254285,7021 VAN VINO VOLO,,td_visa,food & bev,,,07-2025,2025,$91.86 
DEBIT,2025-07-25,-103.48,2025-07-22~2025-07-28~1254275,UBER *TRIP,,td_visa,travel/transport,,,07-2025,2025,$103.48 
DEBIT,2025-07-26,-3.17,2025-07-22~2025-07-28~1254345,METRO,,td_visa,travel/transport,,,07-2025,2025,$3.17 
DEBIT,2025-07-26,-8.75,2025-07-22~2025-07-28~1254325,CAPBIKE*2 RIDES,,td_visa,travel/transport,,,07-2025,2025,$8.75 
DEBIT,2025-07-27,-30.61,7.40834E+22,HOSTPAPABURLINGTON ON,,scotia_visa,business,bus - fixed,,07-2025,2025,$30.61 
DEBIT,2025-07-27,-54.7,2025-07-22~2025-07-28~1254365,UBER *TRIP,,td_visa,travel/transport,,,07-2025,2025,$54.70 
DEBIT,2025-07-27,-32.01,2025-07-22~2025-07-28~1254355,TST* DOLCEZZA - HIIRSHHOR,,td_visa,food & bev,,,07-2025,2025,$32.01 
DEBIT,2025-07-27,-20.15,2025-07-22~2025-07-28~1254335,Cairo Wine Liquor,,td_visa,food & bev,,,07-2025,2025,$20.15 
DEBIT,2025-07-28,-10.49,2.02507E+14,DOORDASHDASHPASS,DOORDASHDASHPASS,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$10.49 
DEBIT,2025-07-28,-24.63,2.02507E+14,APPLE.COM/BILL,APPLE.COM/BILL,cap_one_visa,entertainment,disc - fixed,Crave,07-2025,2025,$24.63 
DEBIT,2025-07-28,-4.8,2025-07-22~2025-07-29~1824549,SQ *PRADO CAFE FIR STREET,,td_visa,food & bev,,,07-2025,2025,$4.80 
DEBIT,2025-07-28,-52.88,2025-07-22~2025-07-29~1824529,SQ *PRADO CAFE FIR STREET,,td_visa,food & bev,,,07-2025,2025,$52.88 
DEBIT,2025-07-28,-89.91,2025-07-22~2025-07-29~1824509,UBER *TRIP,,td_visa,travel/transport,,,07-2025,2025,$89.91 
DEBIT,2025-07-29,-18.32,2025-07-22~2025-07-29~1824539,UBER *TRIP,,td_visa,travel/transport,,,07-2025,2025,$18.32 
DEBIT,2025-07-29,-146.38,2025-07-22~2025-07-29~1824519,TST-Nook Restaurant -,,td_visa,food & bev,,Nook,07-2025,2025,$146.38 
DEBIT,2025-07-29,-10.17,2025-07-22~2025-07-30~1803428,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$10.17 
DEBIT,2025-07-29,-2,2025-07-22~2025-07-30~1803418,UBER CANADA/UBERTRIP,,td_visa,auto/local trans,,,07-2025,2025,$2.00 
DEBIT,2025-07-30,-14.55,2.02507E+14,GOOGLE *YouTubePremium,GOOGLE *YouTubePremium,cap_one_visa,entertainment,disc - fixed,,07-2025,2025,$14.55 
CREDIT,2025-07-30,132.06,7.4529E+22,TD TrustTORONTO,,scotia_visa,transfer/pmt,,,07-2025,2025,($132.06)
DEBIT,2025-07-30,-50.47,2.52112E+16,BC HYDRO W5W7A4,,td_ch,utilities,nec - fixed,,07-2025,2025,$50.47 
DEBIT,2025-07-30,-104.36,2.52112E+16,CAPTL ONE MC W5W7A6,,td_ch,transfer/pmt,,,07-2025,2025,$104.36 
DEBIT,2025-07-30,-132.06,2.52112E+16,SCOTIA VISA W5W7H3,,td_ch,transfer/pmt,,,07-2025,2025,$132.06 
DEBIT,2025-07-30,-145.6,2.52112E+16,Telus Comm BPY,,td_ch,utilities,nec - fixed,,07-2025,2025,$145.60 
DEBIT,2025-07-30,-431.58,2025-07-22~2025-08-01~1821046,PUBLISHED ON MAIN,,td_visa,food & bev,,,07-2025,2025,$431.58 
CREDIT,2025-07-31,104.36,2.02507E+14,PAYMENT,PAYMENT,cap_one_visa,transfer/pmt,,,07-2025,2025,($104.36)
DEBIT,2025-07-31,-44.44,2.02507E+14,DD/DOORDASHCACTUSCLUBC,DD/DOORDASHCACTUSCLUBC,cap_one_visa,food & bev,nec - discretionary,Doordash,07-2025,2025,$44.44 
CREDIT,2025-07-31,3000,2.52121E+16,II230 TFR-FR 603978A,,td_ch,transfer/pmt,,,07-2025,2025,"($3,000.00)"
DEBIT,2025-07-31,-3.95,2.52131E+16,MONTHLY ACCOUNT FEE,,td_ch,int/bank chg/tax,nec - fixed,,07-2025,2025,$3.95 
DEBIT,2025-07-31,-1.78,2025-07-22~2025-08-05~1656324,CITY OF VAN PAYBYPHONE,,td_visa,auto/local trans,,,07-2025,2025,$1.78 
DEBIT,2025-07-31,-1.65,2025-07-22~2025-08-05~1656314,CITY OF VAN PAYBYPHONE,,td_visa,auto/local trans,,,07-2025,2025,$1.65 
DEBIT,2025-08-01,-845.38,1000030272813294D,External Withdrawal,Mortgage Home Trust Company 0003036653,beem_ch,rental inc,condo - fixed,,08-2025,2025,$845.38 
DEBIT,2025-08-01,-76.86,1000030272813293D,Point Of Sale Withdrawal,TST-The Ellis VancouverBCCA,beem_ch,food & bev,nec - discretionary,,08-2025,2025,$76.86 
DEBIT,2025-08-01,-14.16,2.02508E+14,"GITHUB, INC.","GITHUB, INC.",cap_one_visa,business,,,08-2025,2025,$14.16 
CREDIT,2025-08-01,4000,2.52132E+16,JO165 TFR-FR 603978A,,td_ch,transfer/pmt,,,08-2025,2025,"($4,000.00)"
DEBIT,2025-08-01,-3800,2.52132E+16,JT490 TFR-TO C/C,,td_ch,transfer/pmt,,,08-2025,2025,"$3,800.00 "
DEBIT,2025-08-01,-360.02,2.52132E+16,KAS 3604 Radius FEE,,td_ch,rental inc,condo - fixed,,08-2025,2025,$360.02 
CHECK,2025-08-01,-2125,2.52141E+16,CHQ#00046-1141459140,,td_ch,rent,,,08-2025,2025,"$2,125.00 "
